LD,FD,RD,HA,W_L
0.3591136526090064,0.40597313518148037,0.028293798228065214,-1.2483,0.7103
0.7619728377412438,0.2237782223492426,0.3228065161474708,-0.2014,2.8978
0.10464617583988567,0.21934838525292943,0.801086024578451,1.3815,4.7232
0.41258041458184413,0.18891111746213196,0.18676764789939992,-3.1292,-0.8322
0.48134381701215156,0.8539582737925121,0.331809088310946,-1.3016,2.0003
0.17812723373838457,0.5228636753358104,0.7946556158902545,-0.6645,2.1902
0.9438170121515368,0.09859959988568157,0.535295798799657,1.2562,4.5512
0.7037884203002143,0.9851386110317232,0.41569019719919975,1.0892,4.747
0.8874910650464618,0.1003143755358673,0.6563303801086025,-0.6087,1.9833
0.051036454610436044,0.9312660760217205,0.9158330951700486,-1.1626,0.9694
0.20071479628305933,0.3791083166619035,0.7384967133466704,1.0783,4.395
0.16854896354538962,0.6574735638753929,0.6539011146041727,-2.0274,0.4344
0.904360257326662,0.09659902829379818,0.8062303515290083,0.788,3.9027
0.060185847033595474,0.23406687625035727,0.874964275507288,-2.9425,-1.5837
0.1428162973552537,0.34424121177479283,0.8292369248356672,1.5629,4.9663
0.7107934238741958,0.6580451557587882,0.44398399542726497,-1.1583,2.5348
0.7881343817012152,0.0701629036867677,0.9721348956844813,-0.9903,1.3184
0.7515368120085777,0.3616747642183482,0.7579308373821092,0.3856,3.9013
0.9077912794853467,0.2705058588168048,0.7072020577307803,1.4969,4.9673
0.3422444603288064,0.5295798799657044,0.9419834238353817,0.3926,3.8649
0.9949964260185848,0.2113460988853959,0.6709059731351814,1.4327,4.8356
0.8260185847033594,0.5705915975993141,0.644469848528151,-2.5273,1.6438
0.024874910650464654,0.10788796799085454,0.5995998856816234,1.0454,4.2508
0.0866333095067906,0.5092883681051729,0.31051729065447276,1.1216,4.361
0.870192994996426,0.811088882537868,0.24749928551014577,0.9063,4.2549
0.28048606147248034,0.9002572163475279,0.473135181480423,2.0553,5.6101
0.11608291636883483,0.7857959416976278,0.7243498142326381,-1.2403,1.1901
0.14667619728377412,0.357959416976279,0.6054587024864246,2.6243,6.3423
0.6514653323802717,0.880965990282938,0.5068591026007432,-2.0228,1.8948
0.7336669049320943,0.5894541297513575,0.8408116604744214,-0.7507,3.3736
0.6045746962115797,0.24049728493855382,0.5687339239782796,-2.1637,0.6419
0.03674052894924945,0.42483566733352396,0.17304944269791378,1.5086,4.9521
0.10192994996426019,0.526150328665333,0.9722777936553302,2.6973,6.5323
0.5941386704789136,0.22935124321234646,0.9011146041726208,-3.1087,-0.5341
0.125518227305218,0.1503286653329523,0.048013718205201505,1.4607,4.8659
0.7879914224446034,0.43769648470991707,0.8420977422120606,1.1196,4.8192
0.07619728377412438,0.9251214632752215,0.737496427550729,-3.0534,-1.5951
0.34796283059328104,0.3856816233209488,0.6567590740211491,-1.5686,1.7721
0.7220872051465332,0.8446699056873394,0.0613032294941413,2.263,6.0246
0.3769835596854897,0.23135181480422973,0.07387825092883682,1.176,4.4363
0.7366690493209436,0.7410688768219492,0.21820520148613887,-1.8083,0.9559
0.11336669049320947,0.7333523863961132,0.3665332952272078,-1.5432,0.7671
0.5483917083631166,0.9046870534438413,0.5417262074878537,2.7793,6.6109
0.7842744817726948,0.5774507002000572,0.8413832523578166,-1.3906,2.7375
0.21100786275911365,0.01057444984281225,0.013003715347242095,-2.0669,-0.7053
0.36297355253752683,0.29422692197770794,0.7730780222920834,1.8063,5.3402
0.02601858470335955,0.9837096313232351,0.028436696198914035,-0.4556,1.9247
0.012866333095067906,0.4384109745641612,0.07073449557016298,-3.0306,-2.2146
0.08949249463902786,0.9634181194627035,0.37710774507002,1.2966,4.6066
0.11994281629735526,0.7287796513289512,0.12517862246356104,2.7305,6.534
0.4609006433166548,0.4832809374106888,0.3769648470991712,-2.4652,0.9371
0.4112937812723373,0.3016576164618462,0.08916833380965994,1.1979,4.4687
0.9388134381701216,0.29379822806516154,0.015290082880823175,-2.9424,-2.0467
0.31036454610436015,0.9729922835095742,0.33752500714489864,-1.3848,1.8299
0.5982844889206576,0.9258359531294654,0.10503000857387823,1.4525,4.8206
0.23216583273766978,0.8430980280080024,0.15761646184624178,2.6057,6.3024
0.6185847033595424,0.9024006859102601,0.1220348671048872,-1.8785,0.3647
0.5223731236597571,0.043155187196341815,0.274221206058874,1.2737,4.5905
0.4854896354538957,0.003572449271220357,0.4665618748213777,2.4361,6.5121
0.13466761972837737,0.6068876821949128,0.20634466990568745,2.3538,6.0063
0.067047891350965,0.8165190054301229,0.03443841097456418,-2.403,-1.0158
0.8293066476054325,0.04158330951700484,0.4284081166047442,0.3538,3.2043
0.474481772694782,0.34752786510431555,0.8002286367533582,-1.2728,2.0882
0.27619728377412445,0.9468419548442412,0.0764504144041156,0.1467,2.9691
0.8075768406004289,0.8430980280080024,0.573735352957988,0.8879,4.8715
0.6643316654753395,0.5785938839668477,0.3876821949128323,0.4068,3.9829
0.622301644031451,0.2886539011146042,0.29508430980280087,-2.9311,0.0084
0.02816297355253755,0.3708202343526722,0.2609316947699344,-0.6423,1.6448
0.1453895639742674,0.8290940268648185,0.31923406687625033,2.5457,6.2423
0.6710507505360972,0.8060874535581594,0.7372106316090312,-0.2702,4.0406
0.6300214438884917,0.4302657902257787,0.3498142326378967,-1.3811,1.9799
0.35582558970693356,0.415547299228351,0.42626464704201217,2.5858,6.2376
0.4074338813438171,0.7695055730208632,0.703486710488711,1.2574,4.9053
0.39985704074338824,0.5490140040011432,0.17404972849385547,-0.2498,2.6965
0.47891350964974977,0.3826807659331237,0.7002000571591884,-3.074,0.3235
0.5911365260900643,0.2647899399828523,0.6776221777650757,-0.7499,2.3824
0.7762687634024303,0.2410688768219491,0.9075450128608176,0.798,4.1177
0.1516797712651895,0.07230637324949984,0.2660760217204916,0.8058,3.9059
0.13338098641887064,0.5067162046298942,0.17219205487282085,2.765,6.5508
0.8211579699785561,0.4851386110317233,0.9242640754501286,-1.72,2.1142
0.9273766976411724,0.44155472992283507,0.41854815661617606,-0.8159,2.802
0.10035739814152966,0.5171477565018577,0.07473563875392975,-1.2983,0.9002
0.02558970693352397,0.01614747070591599,0.7097742212060589,-2.3835,-1.1562
0.16383130807719803,0.646613318090883,0.039868533866819156,0.1257,2.8562
0.6614724803431022,0.8443841097456416,0.9987139182623608,2.1185,6.1803
0.965832737669764,0.1710488711060303,0.19662760788796796,-0.1191,2.8525
0.5189421015010722,0.7329236924835666,0.31580451557587885,-0.3886,2.9463
0.0736240171551108,0.34095455844527,0.40468705344384126,-1.5943,0.4703
0.7581129378127234,0.2500714489854243,0.532294941411832,2.313,5.8946
0.10578984989278062,0.9276936267505002,0.19719919977136324,0.4373,3.4331
0.7441029306647604,0.39011146041726197,0.23335238639611322,-0.4951,2.5777
0.21072194424588997,0.2953701057444985,0.9308373821091742,-2.6691,-0.1196
0.4982130092923517,0.6997713632466419,0.02214918548156619,-2.4612,-1.2205
0.03845604002859193,0.5663046584738497,0.8318090883109461,2.3069,6.1596
0.8643316654753395,0.8376679051157473,0.7253501000285796,-1.6657,2.9507
0.3182273052180129,0.19705630180051448,0.09688482423549594,1.3158,4.6329
0.3698355968548964,0.03929694198342387,0.5881680480137184,2.3143,6.1672
0.21972837741243745,0.12989425550157196,0.14789939982852252,1.5468,4.9445
0.3785561115082202,0.8245212917976564,0.9392683623892542,2.3194,5.9726
0.7323802716225876,0.14018290940268652,0.07687910831666189,0.9237,4.077
0.3465332380271623,0.18076593312374967,0.766504715633038,1.3123,4.6635
0.07433881343817006,0.3555301514718491,0.6663332380680194,1.8407,5.3878
0.16797712651894214,0.6710488711060302,0.7700771649042584,0.0443,3.0509
0.2753395282344532,0.8099456987710775,0.0588739639897114,-0.296,2.2812
0.7415296640457469,0.8462417833666761,0.042726493283795464,2.4428,6.3497
0.7200857755539671,0.3332380680194341,0.47913689625607314,-1.8259,1.4364
0.5328091493924232,0.9801371820520149,0.47484995713060874,0.4058,4.1834
0.3009292351679772,0.7673621034581309,0.5180051443269506,2.8761,6.5379
0.957398141529664,0.6093169476993426,0.4789939982852244,1.3195,5.0962
0.6919228020014296,0.8739639897113461,0.2344955701629038,-2.5348,0.1742
0.07705503931379554,0.9731351814804229,0.8118033723921121,-0.6851,1.7856
0.6344531808434595,0.8698199485567305,0.15747356387539302,0.8088,4.0029
0.2142959256611866,0.2757930837382109,0.8166619034009719,-1.474,1.3397
0.9366690493209435,0.18219491283223777,0.7990854529865676,2.7245,6.422
0.788277340957827,0.27393541011717637,0.3112317805087169,-2.5994,0.3067
0.5602573266619014,0.3122320663046584,0.19276936267505007,1.7812,5.2502
0.7002144388849179,0.9834238353815375,0.9035438696770506,-2.0724,2.5092
0.061758398856326,0.1498999714204058,0.1330380108602458,2.1923,5.9201
0.5206576125804145,0.686624749928551,0.6789082595027152,-3.0645,0.9375
0.3050750536097213,0.05987424978565303,0.5230065733066591,-1.6729,0.2704
0.06819156540385996,0.6261789082595027,0.10560160045727351,-1.64,0.3712
0.1278055754110079,0.5401543298085167,0.7230637324949987,-2.3532,-0.2319
0.7964260185847034,0.18390968848242362,0.5577307802229209,2.7275,6.4246
0.5076483202287347,0.3679622749356959,0.8048013718205203,1.5724,5.1723
0.09478198713366692,0.99156901971992,0.2813661046013147,-2.1771,-0.2145
0.17255182273052183,0.7776507573592454,0.2555015718776794,2.5728,6.2433
0.09049320943531103,0.028865390111460387,0.10488711060302947,2.2491,6.1049
0.987276626161544,0.0437267790797371,0.8299514146899114,1.3155,4.6526
0.3728377412437456,0.9402686481851957,0.0955987424978566,-2.7813,-1.0468
0.6243030736240172,0.696627607887968,0.5645898828236641,0.2093,4.2097
0.056040028591851365,0.5897399256930552,0.4108316661903402,2.0466,5.7204
0.4827734095782702,0.3823949699914261,0.3939697056301801,1.9599,5.599
0.8669049320943532,0.06087453558159478,0.9108316661903402,-2.2461,-0.5603
0.44474624731951395,0.37196341811946276,0.07459274078308098,0.9787,4.1548
0.10664760543245178,0.7776507573592454,0.7537867962274936,-0.8529,1.6732
0.6207290922087205,0.06073163761074596,0.8425264361246072,1.4378,4.8204
0.3831308077197999,0.2262074878536725,0.5381537582166334,-0.9202,2.0497
0.2337383845604003,0.5372963703915405,0.6310374392683624,3.0872,6.8089
0.36483202287348104,0.029151186053158085,0.8838239496999143,-1.6698,0.0656
0.6293066476054325,0.11817662189196909,0.6914832809374107,1.9369,5.4704
0.540385989992852,0.725921691911975,0.7889396970563018,1.1163,5.018
0.2335954253037884,0.5454415547299228,0.18576736210345812,0.01,3.0529
0.5811293781272338,0.8981137467847956,0.5993140897399258,2.348,6.2579
0.26890636168691917,0.15332952272077738,0.4605601600457273,-2.6646,-0.47
