HA,W_L
-2.3879,1.8603
-2.9623,0.4575
1.958,12.4743
-2.5206,1.5362
-0.1592,7.3035
-1.3946,4.2863
3.041,15.1194
-1.2489,4.6421
-2.5866,1.375
-2.8927,0.6274
0.666,9.3189
0.1246,7.9966
0.3194,8.4724
-2.3413,1.9741
-1.9496,2.9308
1.4274,11.1785
-2.2005,2.318
-3.0014,0.362
-2.7882,0.8827
-0.2811,7.0058
1.3977,11.1059
0.5804,9.1098
-3.0139,0.3314
2.0231,12.6333
-1.6692,3.6156
-1.3575,4.3769
-0.0536,7.5614
-1.0584,5.1074
-0.622,6.1732
-1.8625,3.1435
-0.2792,7.0104
1.8618,12.2394
1.04,10.2323
3.0071,15.0366
0.3617,8.5757
-2.4452,1.7204
-2.3436,1.9685
-0.4101,6.6907
-2.4456,1.7194
2.2459,13.1775
-1.9384,2.9581
-1.479,4.0801
-2.6099,1.3181
-1.293,4.5344
1.923,12.3889
1.6267,11.6652
1.5705,11.528
-3.0434,0.2594
2.1718,12.9965
-2.2661,2.1578
0.5532,9.0434
2.7656,14.4468
1.4028,11.1184
0.6834,9.3614
1.8279,12.1566
-0.2882,6.9884
-2.6088,1.3208
1.11,10.4033
2.4069,13.5707
1.2425,10.7269
-2.5738,1.4063
-0.658,6.0853
-2.2593,2.1744
-2.7603,0.9508
-1.7545,3.4073
-0.9154,5.4566
2.5793,13.9918
2.9349,14.8602
0.2826,8.3825
2.4937,13.7827
-2.1111,2.5364
1.6365,11.6891
-1.6422,3.6815
-0.9986,5.2534
-1.308,4.4978
-1.0293,5.1784
-0.7218,5.9294
-0.2691,7.0351
2.7255,14.3488
0.0283,7.7614
2.8559,14.6673
0.3489,8.5444
-1.4501,4.1507
-2.3399,1.9776
0.04,7.79
1.9651,12.4917
2.0919,12.8014
3.0349,15.1045
0.2885,8.3969
-0.3867,6.7479
1.9412,12.4333
0.3478,8.5417
1.9615,12.4829
-1.5128,3.9976
2.8107,14.5569
-2.6108,1.3159
0.4231,8.7256
-0.588,6.2562
0.9282,9.9593
-2.3439,1.9678
-0.6252,6.1654
-2.0539,2.6761
0.5962,9.1484
-0.4162,6.6758
-1.0871,5.0373
2.2529,13.1946
-0.0549,7.5582
-1.045,5.1401
-2.8911,0.6314
-1.3452,4.4069
0.0414,7.7934
0.0185,7.7375
1.3491,10.9872
-1.5281,3.9602
1.9106,12.3586
2.9741,14.956
1.8286,12.1583
1.8889,12.3056
0.2,8.1808
2.527,13.864
-1.3578,4.3761
-2.9601,0.4628
1.2226,10.6783
1.3705,11.0395
-0.7248,5.9221
1.3222,10.9215
2.5954,14.0311
0.3018,8.4294
-0.0983,7.4522
-2.2365,2.2301
3.1042,15.2737
-2.9242,0.5505
-2.2559,2.1827
-1.7031,3.5328
0.8778,9.8362
2.7678,14.4521
-2.3583,1.9326
-2.9743,0.4282
-1.4376,4.1812
1.8903,12.309
0.6984,9.398
-1.9876,2.838
-3.0684,0.1983
2.8159,14.5696
0.6579,9.2991
-2.901,0.6072
1.935,12.4182
-1.1859,4.796
-0.7367,5.8931
-0.4779,6.5251
1.4015,11.1152
-2.6033,1.3342
-1.096,5.0155
-1.4227,4.2176
0.2496,8.3019
-1.3328,4.4372
-2.4233,1.7739
0.1682,8.1031
2.8104,14.5562
0.6795,9.3519
-2.1673,2.3991
-2.838,0.761
2.3597,13.4554
-1.4139,4.2391
-2.8989,0.6123
-2.4622,1.6789
1.1273,10.4455
-0.0025,7.6862
0.9167,9.9312
-0.2956,6.9704
0.2632,8.3351
-0.3236,6.902
1.634,11.683
-0.9446,5.3853
1.206,10.6377
-2.9069,0.5928
1.4858,11.3211
-2.9247,0.5493
2.1363,12.9098
-1.8237,3.2383
1.0807,10.3317
-1.2692,4.5925
2.6451,14.1525
-3.0436,0.2589
-3.0912,0.1426
2.6759,14.2277
-3.0365,0.2762
0.7644,9.5592
0.7497,9.5233
1.9994,12.5755
1.2447,10.7322
-1.2498,4.6399
2.2237,13.1233
-0.0463,7.5792
2.9259,14.8383
-2.783,0.8954
-2.5529,1.4573
-1.5702,3.8574
2.2885,13.2815
2.9955,15.0082
-1.4184,4.2281
1.2402,10.7213
2.8426,14.6348
-1.9962,2.817
-1.8302,3.2224
-1.9499,2.9301
0.979,10.0833
-1.7283,3.4713
-2.7094,1.0751
0.2786,8.3727
-0.3488,6.8404
-1.8211,3.2446
-0.9643,5.3372
2.6693,14.2116
2.7806,14.4834
1.5093,11.3785
-2.7579,0.9567
2.6121,14.0719
-1.1286,4.9359
1.9503,12.4555
2.8685,14.6981
1.2213,10.6751
-0.0492,7.5721
-0.8471,5.6234
-0.1311,7.3721
2.2948,13.2969
-2.6897,1.1232
-2.7695,0.9283
0.9157,9.9287
-0.9871,5.2815
3.1252,15.325
-0.0116,7.664
1.2509,10.7474
-2.9726,0.4323
-2.2723,2.1427
-2.021,2.7564
-1.1211,4.9542
3.0536,15.1501
-1.8207,3.2456
0.1796,8.1309
-2.286,2.1092
1.7499,11.9661
0.3697,8.5952
1.5644,11.5131
0.5297,8.986
2.5463,13.9112
-0.1585,7.3052
3.0112,15.0466
0.5877,9.1277
-1.4009,4.2709
-1.0723,5.0734
-0.2379,7.1113
2.257,13.2046
-1.169,4.8372
-0.1529,7.3189
-2.3521,1.9478
2.3711,13.4833
-0.716,5.9436
-2.2344,2.2352
-1.2403,4.6631
2.9567,14.9135
-2.2246,2.2591
1.7362,11.9326
-1.4404,4.1744
-1.4066,4.257
-0.0529,7.5631
-1.9253,2.9901
2.3241,13.3685
0.8508,9.7702
-1.7993,3.2979
-0.0771,7.504
-1.3613,4.3676
2.6497,14.1637
2.1969,13.0578
0.2081,8.2006
0.4359,8.7569
-1.3481,4.3998
1.7818,12.044
-0.8357,5.6513
2.3057,13.3235
-0.124,7.3895
0.9931,10.1178
-0.7181,5.9385
-1.1383,4.9122
1.3784,11.0588
-0.6906,6.0056
-1.143,4.9007
0.5588,9.0571
0.4629,8.8229
-1.6146,3.749
-0.4298,6.6426
