HA,W_L
-1.2483,4.112
-0.2014,4.9642
1.3815,6.2529
-3.1292,2.5807
-1.3016,4.0686
-0.6645,4.5872
1.2562,6.1509
1.0892,6.0149
-0.6087,4.6327
-1.1626,4.1817
1.0783,6.0061
-2.0274,3.4777
0.788,5.7697
-2.9425,2.7327
1.5629,6.4006
-1.1583,4.1852
-0.9903,4.322
0.3856,5.4421
1.4969,6.3468
0.3926,5.4478
1.4327,6.2946
-2.5273,3.0707
1.0454,5.9793
1.1216,6.0413
0.9063,5.866
2.0553,6.8014
-1.2403,4.1185
2.6243,7.2647
-2.0228,3.4814
-0.7507,4.5171
-2.1637,3.3667
1.5086,6.3564
2.6973,7.3241
-3.1087,2.5974
1.4607,6.3174
1.1196,6.0397
-3.0534,2.6424
-1.5686,3.8512
2.263,6.9705
1.176,6.0856
-1.8083,3.6561
-1.5432,3.8719
2.7793,7.3908
-1.3906,3.9961
-2.0669,3.4455
1.8063,6.5987
-0.4556,4.7573
-3.0306,2.661
1.2966,6.1838
2.7305,7.3511
-2.4652,3.1213
1.1979,6.1034
-2.9424,2.7328
-1.3848,4.0008
1.4525,6.3107
2.6057,7.2495
-1.8785,3.5989
1.2737,6.1651
2.4361,7.1114
2.3538,7.0444
-2.403,3.1719
0.3538,5.4162
-1.2728,4.092
0.1467,5.2476
0.8879,5.851
0.4068,5.4594
-2.9311,2.742
-0.6423,4.6053
2.5457,7.2007
-0.2702,4.9082
-1.3811,4.0038
2.5858,7.2333
1.2574,6.1519
-0.2498,4.9248
-3.074,2.6257
-0.7499,4.5177
0.798,5.7779
0.8058,5.7842
2.765,7.3792
-1.72,3.7279
-0.8159,4.464
-1.2983,4.0713
-2.3835,3.1878
0.1257,5.2305
2.1185,6.8529
-0.1191,5.0312
-0.3886,4.8118
-1.5943,3.8303
2.313,7.0112
0.4373,5.4842
-0.4951,4.7251
-2.6691,2.9553
-2.4612,3.1245
2.3069,7.0063
-1.6657,3.7722
1.3158,6.1994
2.3143,7.0123
1.5468,6.3875
2.3194,7.0164
0.9237,5.8802
1.3123,6.1966
1.8407,6.6267
0.0443,5.1643
-0.296,4.8872
2.4428,7.1169
-1.8259,3.6417
0.4058,5.4586
2.8761,7.4696
1.3195,6.2024
-2.5348,3.0646
-0.6851,4.5705
0.8088,5.7867
-1.474,3.9282
2.7245,7.3462
-2.5994,3.012
1.7812,6.5783
-2.0724,3.4411
2.1923,6.913
-3.0645,2.6334
-1.6729,3.7663
-1.64,3.7931
-2.3532,3.2125
