HA,W_R
-2.3879,13.5243
-2.9623,14.9272
1.958,2.9103
-2.5206,13.8484
-0.1592,8.0811
-1.3946,11.0984
3.041,0.2653
-1.2489,10.7425
-2.5866,14.0096
-2.8927,14.7572
0.666,6.0657
0.1246,7.388
0.3194,6.9122
-2.3413,13.4105
-1.9496,12.4538
1.4274,4.2062
-2.2005,13.0666
-3.0014,15.0226
-2.7882,14.502
-0.2811,8.3788
1.3977,4.2787
0.5804,6.2748
-3.0139,15.0532
2.0231,2.7513
-1.6692,11.769
-1.3575,11.0077
-0.0536,7.8232
-1.0584,10.2772
-0.622,9.2114
-1.8625,12.2411
-0.2792,8.3742
1.8618,3.1452
1.04,5.1523
3.0071,0.348
0.3617,6.8089
-2.4452,13.6642
-2.3436,13.4161
-0.4101,8.6939
-2.4456,13.6652
2.2459,2.2071
-1.9384,12.4265
-1.479,11.3045
-2.6099,14.0665
-1.293,10.8502
1.923,2.9957
1.6267,3.7194
1.5705,3.8567
-3.0434,15.1252
2.1718,2.3881
-2.2661,13.2268
0.5532,6.3412
2.7656,0.9379
1.4028,4.2662
0.6834,6.0232
1.8279,3.228
-0.2882,8.3962
-2.6088,14.0638
1.11,4.9813
2.4069,1.8139
1.2425,4.6577
-2.5738,13.9783
-0.658,9.2993
-2.2593,13.2102
-2.7603,14.4338
-1.7545,11.9773
-0.9154,9.928
2.5793,1.3929
2.9349,0.5244
0.2826,7.0021
2.4937,1.6019
-2.1111,12.8483
1.6365,3.6955
-1.6422,11.7031
-0.9986,10.1312
-1.308,10.8868
-1.0293,10.2062
-0.7218,9.4552
-0.2691,8.3495
2.7255,1.0358
0.0283,7.6232
2.8559,0.7173
0.3489,6.8402
-1.4501,11.2339
-2.3399,13.4071
0.04,7.5946
1.9651,2.8929
2.0919,2.5832
3.0349,0.2801
0.2885,6.9877
-0.3867,8.6367
1.9412,2.9513
0.3478,6.8429
1.9615,2.9017
-1.5128,11.387
2.8107,0.8277
-2.6108,14.0687
0.4231,6.659
-0.588,9.1284
0.9282,5.4254
-2.3439,13.4168
-0.6252,9.2192
-2.0539,12.7086
0.5962,6.2362
-0.4162,8.7088
-1.0871,10.3473
2.2529,2.19
-0.0549,7.8264
-1.045,10.2445
-2.8911,14.7533
-1.3452,10.9777
0.0414,7.5912
0.0185,7.6471
1.3491,4.3974
-1.5281,11.4244
1.9106,3.026
2.9741,0.4286
1.8286,3.2263
1.8889,3.079
0.2,7.2038
2.527,1.5206
-1.3578,11.0085
-2.9601,14.9218
1.2226,4.7063
1.3705,4.3451
-0.7248,9.4625
1.3222,4.4631
2.5954,1.3535
0.3018,6.9552
-0.0983,7.9324
-2.2365,13.1545
3.1042,0.1109
-2.9242,14.8341
-2.2559,13.2019
-1.7031,11.8518
0.8778,5.5484
2.7678,0.9325
