HA,W_R
-1.2483,6.1444
-0.2014,5.2922
1.3815,4.0035
-3.1292,7.6757
-1.3016,6.1878
-0.6645,5.6692
1.2562,4.1055
1.0892,4.2415
-0.6087,5.6237
-1.1626,6.0747
1.0783,4.2504
-2.0274,6.7787
0.788,4.4867
-2.9425,7.5237
1.5629,3.8558
-1.1583,6.0712
-0.9903,5.9344
0.3856,4.8143
1.4969,3.9096
0.3926,4.8086
1.4327,3.9618
-2.5273,7.1857
1.0454,4.2771
1.1216,4.2151
0.9063,4.3904
2.0553,3.455
-1.2403,6.1379
2.6243,2.9918
-2.0228,6.775
-0.7507,5.7394
-2.1637,6.8897
1.5086,3.9
2.6973,2.9323
-3.1087,7.659
1.4607,3.939
1.1196,4.2167
-3.0534,7.614
-1.5686,6.4052
2.263,3.2859
1.176,4.1708
-1.8083,6.6003
-1.5432,6.3845
2.7793,2.8656
-1.3906,6.2603
-2.0669,6.8109
1.8063,3.6577
-0.4556,5.4991
-3.0306,7.5954
1.2966,4.0726
2.7305,2.9053
-2.4652,7.1351
1.1979,4.153
-2.9424,7.5236
-1.3848,6.2556
1.4525,3.9457
2.6057,3.0069
-1.8785,6.6575
1.2737,4.0913
2.4361,3.145
2.3538,3.212
-2.403,7.0845
0.3538,4.8402
-1.2728,6.1644
0.1467,5.0088
0.8879,4.4054
0.4068,4.797
-2.9311,7.5144
-0.6423,5.6511
2.5457,3.0557
-0.2702,5.3482
-1.3811,6.2526
2.5858,3.0231
1.2574,4.1046
-0.2498,5.3316
-3.074,7.6308
-0.7499,5.7387
0.798,4.4786
0.8058,4.4722
2.765,2.8772
-1.72,6.5285
-0.8159,5.7924
-1.2983,6.1852
-2.3835,7.0686
0.1257,5.0259
2.1185,3.4035
-0.1191,5.2252
-0.3886,5.4446
-1.5943,6.4261
2.313,3.2452
0.4373,4.7722
-0.4951,5.5313
-2.6691,7.3011
-2.4612,7.1319
2.3069,3.2502
-1.6657,6.4843
1.3158,4.057
2.3143,3.2441
1.5468,3.869
2.3194,3.24
0.9237,4.3762
1.3123,4.0599
1.8407,3.6297
0.0443,5.0921
-0.296,5.3692
2.4428,3.1395
-1.8259,6.6147
0.4058,4.7978
2.8761,2.7868
1.3195,4.054
-2.5348,7.1918
-0.6851,5.6859
0.8088,4.4698
-1.474,6.3282
2.7245,2.9102
-2.5994,7.2444
1.7812,3.6781
-2.0724,6.8154
2.1923,3.3434
-3.0645,7.623
-1.6729,6.4901
-1.64,6.4633
-2.3532,7.044
2.7275,2.9077
1.5724,3.8481
-2.1771,6.9006
2.5728,3.0337
2.2491,3.2972
1.3155,4.0573
-2.7813,7.3925
0.2093,4.9578
2.0466,3.4621
1.9599,3.5326
-2.2461,6.9568
0.9787,4.3314
-0.8529,5.8226
1.4378,3.9577
-0.9202,5.8773
3.0872,2.6149
-1.6698,6.4876
1.9369,3.5514
1.1163,4.2194
0.01,5.1201
2.348,3.2167
-2.6646,7.2975
-2.847,7.446
1.7032,3.7416
-0.7002,5.6982
0.226,4.9442
3.0762,2.6239
-0.4572,5.5004
-2.1383,6.869
1.2947,4.0742
0.0148,5.1162
-2.679,7.3092
-0.9228,5.8795
0.2373,4.935
-1.3658,6.2401
-0.1666,5.2638
2.4899,3.1012
-0.8103,5.7879
0.8678,4.4217
-2.7394,7.3584
-1.7663,6.5662
-0.8614,5.8295
2.9175,2.7531
2.6743,2.9511
-0.8396,5.8117
2.0787,3.4359
1.8418,3.6288
0.958,4.3483
-2.0007,6.757
0.2684,4.9097
-0.2642,5.3433
0.1045,5.0431
-2.7561,7.372
-0.7601,5.747
2.888,2.7771
-3.1151,7.6642
2.2758,3.2755
-1.3903,6.2601
1.6359,3.7964
2.3494,3.2156
-1.1427,6.0585
1.2768,4.0888
1.6995,3.7446
-1.2033,6.1078
-1.0912,6.0166
-0.2504,5.3321
0.1331,5.0198
1.161,4.183
-2.7574,7.373
1.7632,3.6928
-2.1445,6.874
-2.7835,7.3943
-2.8221,7.4257
2.5114,3.0837
-2.0921,6.8314
-2.2176,6.9336
0.2629,4.9142
1.8881,3.5911
-3.0717,7.6289
2.873,2.7893
0.2868,4.8947
3.084,2.6175
-1.3842,6.2551
-2.4931,7.1578
0.9898,4.3224
-1.6005,6.4312
2.9857,2.6975
-0.4032,5.4565
-2.6882,7.3167
-1.7418,6.5462
-2.7569,7.3726
2.3775,3.1927
-1.4342,6.2958
1.0072,4.3082
-1.9659,6.7286
1.4452,3.9517
-1.0491,5.9823
0.1716,4.9885
-0.6787,5.6807
0.5407,4.688
0.5139,4.7098
0.8227,4.4584
-2.1204,6.8544
0.346,4.8465
-0.8683,5.8351
1.1593,4.1844
2.3911,3.1816
0.8225,4.4586
2.0718,3.4415
-2.5142,7.175
1.9055,3.5769
-1.6773,6.4937
-0.8307,5.8045
2.808,2.8422
2.3481,3.2166
-2.1225,6.8561
1.5882,3.8352
-0.9811,5.9269
-2.7248,7.3465
2.4246,3.1543
1.9293,3.5576
2.8558,2.8033
1.044,4.2783
-2.902,7.4907
-1.085,6.0115
-1.9468,6.7131
2.9117,2.7578
-0.1907,5.2835
1.6295,3.8016
0.2051,4.9612
-0.4039,5.457
-2.749,7.3662
-2.1307,6.8628
-1.8287,6.617
-2.6744,7.3054
0.3944,4.8071
-2.8597,7.4563
-0.3538,5.4162
-2.8693,7.4641
-0.3755,5.4339
1.9545,3.537
-2.03,6.7808
-1.106,6.0286
1.0374,4.2837
1.4689,3.9324
1.2173,4.1372
-1.3211,6.2037
-0.5215,5.5528
-1.2387,6.1366
0.7657,4.5048
2.043,3.465
2.0389,3.4683
1.0809,4.2482
-0.7103,5.7065
-2.6669,7.2993
1.1265,4.2111
-1.0498,5.9828
0.4804,4.7371
1.3037,4.0669
0.9975,4.3161
1.3827,4.0025
0.5936,4.645
-2.9011,7.49
-0.0288,5.1517
0.7785,4.4944
-1.3653,6.2397
-0.6861,5.6868
-0.9596,5.9094
1.1986,4.1524
2.0368,3.47
-0.3165,5.3859
-0.5211,5.5524
-0.4947,5.5309
-1.9244,6.6949
-2.9473,7.5276
-1.1399,6.0562
3.0468,2.6478
-0.392,5.4473
2.987,2.6965
-1.7367,6.5421
-2.0287,6.7798
-2.1286,6.8611
0.5589,4.6732
0.6921,4.5648
0.8037,4.4739
0.8064,4.4717
2.3103,3.2474
2.8153,2.8363
-1.3644,6.239
-3.03,7.5949
1.2388,4.1197
1.1556,4.1874
0.1292,5.023
-1.9267,6.6967
2.1888,3.3463
-0.5941,5.6119
-0.5558,5.5807
1.9843,3.5128
-0.2383,5.3222
-3.0046,7.5743
-0.8521,5.8219
1.9467,3.5434
1.8263,3.6414
-0.5787,5.5993
-2.6059,7.2497
-2.4375,7.1126
-0.5793,5.5998
-2.057,6.8028
-2.9929,7.5647
-0.5672,5.59
-1.492,6.3428
1.3246,4.0498
-1.031,5.9675
2.4233,3.1554
-2.264,6.9713
0.5893,4.6485
-2.8007,7.4083
0.8366,4.4471
-1.7952,6.5897
1.0812,4.248
1.2179,4.1367
-1.4389,6.2996
1.5445,3.8708
-2.6254,7.2656
-2.1129,6.8483
1.3297,4.0457
-1.9593,6.7233
1.6084,3.8188
2.8561,2.803
-2.3564,7.0466
-2.5265,7.185
-0.5448,5.5717
-1.6184,6.4457
0.7963,4.4799
0.8415,4.4431
2.951,2.7258
-1.7437,6.5478
0.6196,4.6238
-2.2204,6.9358
0.7934,4.4823
2.6535,2.968
-0.8689,5.8356
1.2499,4.1107
-0.9832,5.9286
1.4263,3.9671
-2.601,7.2457
-1.9742,6.7354
-1.0255,5.9631
-0.8524,5.8221
-2.3423,7.0351
2.9111,2.7583
-1.1372,6.054
2.66,2.9627
2.4471,3.136
1.5115,3.8977
-0.2144,5.3027
0.7068,4.5528
-1.4238,6.2873
-2.9215,7.5066
-2.9693,7.5455
1.596,3.8289
-2.8616,7.4578
-0.0235,5.1473
-2.0915,6.8309
-2.7111,7.3353
2.1945,3.3417
2.9219,2.7495
-0.2214,5.3084
1.2276,4.1288
-1.9953,6.7526
-0.848,5.8186
0.5227,4.7027
-1.1739,6.0839
2.9586,2.7196
0.6499,4.5991
1.3478,4.031
2.2649,3.2843
0.9646,4.3429
1.1222,4.2146
-2.507,7.1692
-2.0792,6.8209
-1.4985,6.3481
-0.3802,5.4377
-0.7233,5.717
-0.0953,5.2058
0.7641,4.5061
0.5498,4.6806
1.3494,4.0297
-1.1893,6.0964
1.9073,3.5755
2.4836,3.1063
1.2922,4.0762
-1.0838,6.0105
-3.006,7.5754
2.9022,2.7655
-1.184,6.0921
0.0224,5.11
-1.2787,6.1692
1.8705,3.6054
-2.5743,7.2239
-0.4707,5.5114
-2.8763,7.4698
-2.1783,6.9016
2.1131,3.4079
1.5253,3.8865
-0.6441,5.6526
-1.4083,6.2747
-0.0739,5.1884
2.2452,3.3004
3.0197,2.6699
-2.6749,7.3058
1.1982,4.1527
-2.0328,6.7831
1.8502,3.622
2.1564,3.3727
1.5739,3.8469
2.905,2.7632
0.4619,4.7522
3.1216,2.5869
-2.988,7.5607
-1.6578,6.4778
-0.9034,5.8637
-1.2396,6.1374
-2.1445,6.874
-2.5873,7.2345
-1.442,6.3021
0.7574,4.5116
2.1754,3.3572
2.6134,3.0006
-0.5528,5.5782
2.6322,2.9853
0.8137,4.4658
-3.0908,7.6444
-1.8618,6.6439
2.0377,3.4693
-2.0943,6.8332
1.5933,3.8311
-1.774,6.5724
3.0,2.6859
-2.9152,7.5015
-2.4074,7.0881
3.0707,2.6283
1.6707,3.7681
0.8532,4.4336
-2.8379,7.4385
2.3308,3.2307
2.2056,3.3326
-2.4671,7.1367
-2.7865,7.3967
1.5998,3.8258
-3.0871,7.6414
3.0379,2.655
3.1303,2.5798
-0.486,5.5239
-0.42,5.4701
0.6061,4.6348
-1.5492,6.3894
0.4731,4.7431
-0.7444,5.7342
-1.0276,5.9648
-1.4211,6.2851
-0.5863,5.6055
-1.4404,6.3008
-0.9552,5.9058
0.1193,5.0311
1.4777,3.9252
-2.3157,7.0134
1.9701,3.5243
2.2681,3.2817
0.5859,4.6512
0.8285,4.4537
1.9799,3.5164
1.712,3.7345
-3.0892,7.6431
-0.8323,5.8058
-0.1852,5.279
-0.266,5.3448
-1.3032,6.1891
-2.9986,7.5694
-0.7474,5.7367
-2.5418,7.1975
-0.088,5.1998
-1.3067,6.192
-2.2145,6.931
-3.099,7.6511
-0.6665,5.6708
1.6287,3.8023
-0.209,5.2984
1.623,3.8069
1.6995,3.7446
0.0476,5.0895
0.2156,4.9527
2.9091,2.7599
2.6652,2.9585
2.1614,3.3686
